År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2023;03 80;UPPSALA;UPPSALA DOMKYRKOFÖRSAMLING;34.058;33.108;21.14;11.71;0.258;0.95
2023;03 80;UPPSALA;UPPSALA-NÄS FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;VAKSALA FÖRSAMLING;34.058;33.108;21.14;11.71;0.258;0.95
2023;03 80;UPPSALA;VIKSTA FÖRSAMLING;34.328;33.108;21.14;11.71;0.258;1.22
2023;03 80;UPPSALA;VÄSTERÅKERS FÖRSAMLING;34.308;33.108;21.14;11.71;0.258;1.20
2023;03 80;UPPSALA;ÄRENTUNA FÖRSAMLING;34.208;33.108;21.14;11.71;0.258;1.10
2023;03 81;ENKÖPING;BOGLÖSA FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;ENKÖPINGS FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;FJÄRDHUNDRA FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;LAGUNDA FÖRSAMLING;34.788;33.308;21.34;11.71;0.258;1.48
2023;03 81;ENKÖPING;SPARRSÄTRA-BREDS FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;TILLINGE OCH SÖDRA ÅSUNDA FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;VECKHOLMS FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 81;ENKÖPING;VILLBERGA FÖRSAMLING;34.428;33.308;21.34;11.71;0.258;1.12
2023;03 82;ÖSTHAMMAR;ALUNDA FÖRSAMLING;35.148;33.658;21.69;11.71;0.258;1.49
2023;03 82;ÖSTHAMMAR;DANNEMORABYGDENS FÖRSAMLING;35.018;33.658;21.69;11.71;0.258;1.36
2023;03 82;ÖSTHAMMAR;EKEBY FÖRSAMLING;35.078;33.658;21.69;11.71;0.258;1.42
2023;03 82;ÖSTHAMMAR;FRÖSÅKERS FÖRSAMLING;34.928;33.658;21.69;11.71;0.258;1.27
2023;03 82;ÖSTHAMMAR;SKÄFTHAMMAR-HÖKHUVUDS FÖRSAMLING;35.078;33.658;21.69;11.71;0.258;1.42
2023;03 82;ÖSTHAMMAR;ÖREGRUND-GRÄSÖ FÖRSAMLING;34.928;33.658;21.69;11.71;0.258;1.27
2023;04 28;VINGÅKER;VÄSTRA VINGÅKERS FÖRSAMLING;34.798;33.758;22.67;10.83;0.258;1.04
2023;04 28;VINGÅKER;ÖSTERÅKERS FÖRSAMLING;34.798;33.758;22.67;10.83;0.258;1.04
2023;04 61;GNESTA;DAGA FÖRSAMLING;34.528;33.208;22.12;10.83;0.258;1.32
2023;04 61;GNESTA;FRUSTUNA FÖRSAMLING;34.498;33.208;22.12;10.83;0.258;1.29
2023;04 80;NYKÖPING;KILADALENS FÖRSAMLING;33.768;32.508;21.42;10.83;0.258;1.26
2023;04 80;NYKÖPING;NYKÖPINGS FÖRSAMLING;33.678;32.508;21.42;10.83;0.258;1.17
2023;04 80;NYKÖPING;RÖNÖ FÖRSAMLING;33.888;32.508;21.42;10.83;0.258;1.38
2023;04 80;NYKÖPING;STIGTOMTA-VRENA FÖRSAMLING;33.828;32.508;21.42;10.83;0.258;1.32
2023;04 80;NYKÖPING;TUNABERGS FÖRSAMLING;34.088;32.508;21.42;10.83;0.258;1.58
2023;04 80;NYKÖPING;TYSTBERGABYGDENS FÖRSAMLING;34.098;32.508;21.42;10.83;0.258;1.59
2023;04 81;OXELÖSUND;OXELÖSUNDS FÖRSAMLING;34.348;33.308;22.22;10.83;0.258;1.04
2023;04 82;FLEN;BETTNA FÖRSAMLING;34.718;33.358;22.27;10.83;0.258;1.36
2023;04 82;FLEN;DUNKER-LILLA MALMA FÖRSAMLING;34.818;33.358;22.27;10.83;0.258;1.46
2023;04 82;FLEN;FLEN, HELGESTA-HYLTINGE FÖRSAMLING;34.358;33.358;22.27;10.83;0.258;1.00
2023;04 82;FLEN;MELLÖSA FÖRSAMLING;34.828;33.358;22.27;10.83;0.258;1.47
2023;04 83;KATRINEHOLM;BJÖRKVIKS FÖRSAMLING;34.648;33.208;22.12;10.83;0.258;1.44
2023;04 83;KATRINEHOLM;KATRINEHOLMSBYGDENS FÖRSAMLING;34.258;33.208;22.12;10.83;0.258;1.05
2023;04 84;ESKILSTUNA;HUSBY-REKARNE FÖRSAMLING;34.128;33.108;22.02;10.83;0.258;1.02
2023;04 84;ESKILSTUNA;HÄLLBY FÖRSAMLING MED TUMBO OCH RÅBY;34.248;33.108;22.02;10.83;0.258;1.14
2023;04 84;ESKILSTUNA;KAFJÄRDENS FÖRSAMLING;34.048;33.108;22.02;10.83;0.258;0.94
2023;04 84;ESKILSTUNA;NÄSHULTA FÖRSAMLING;34.128;33.108;22.02;10.83;0.258;1.02
2023;04 84;ESKILSTUNA;S:T ANSGARS FÖRSAMLING;34.008;33.108;22.02;10.83;0.258;0.90
2023;04 84;ESKILSTUNA;S:T JOHANNES FÖRSAMLING;34.008;33.108;22.02;10.83;0.258;0.90
2023;04 84;ESKILSTUNA;STENKVISTA-ÄRLA FÖRSAMLING;34.338;33.108;22.02;10.83;0.258;1.23
2023;04 84;ESKILSTUNA;TORSHÄLLA FÖRSAMLING;34.048;33.108;22.02;10.83;0.258;0.94
2023;04 84;ESKILSTUNA;TUNAFORS FÖRSAMLING;34.008;33.108;22.02;10.83;0.258;0.90
2023;04 84;ESKILSTUNA;VÄSTRA REKARNE FÖRSAMLING;34.008;33.108;22.02;10.83;0.258;0.90
2023;04 86;STRÄNGNÄS;MARIEFREDS FÖRSAMLING;33.868;32.758;21.67;10.83;0.258;1.11
2023;04 86;STRÄNGNÄS;STALLARHOLMENS FÖRSAMLING;34.158;32.758;21.67;10.83;0.258;1.40
2023;04 86;STRÄNGNÄS;STRÄNGNÄS DOMKYRKOFÖRSAMLING MED ASP;33.778;32.758;21.67;10.83;0.258;1.02
2023;04 86;STRÄNGNÄS;VÅRFRUBERGA-HÄRADS FÖRSAMLING;34.178;32.758;21.67;10.83;0.258;1.42
2023;04 86;STRÄNGNÄS;ÅKER-LÄNNA FÖRSAMLING;34.048;32.758;21.67;10.83;0.258;1.29
2023;04 88;TROSA;TROSA FÖRSAMLING;33.558;32.588;21.50;10.83;0.258;0.97
2023;05 09;ÖDESHÖG;ÖDESHÖGS FÖRSAMLING;35.558;34.408;22.60;11.55;0.258;1.15
2023;05 12;YDRE;NORRA YDRE FÖRSAMLING;35.888;34.358;22.55;11.55;0.258;1.53
2023;05 12;YDRE;SUND-SVINHULTS FÖRSAMLING;35.888;34.358;22.55;11.55;0.258;1.53
2023;05 12;YDRE;VÄSTRA RYDS FÖRSAMLING;35.888;34.358;22.55;11.55;0.258;1.53
2023;05 13;KINDA;HORNS FÖRSAMLING;34.548;33.258;21.45;11.55;0.258;1.29
2023;05 13;KINDA;HYCKLINGE FÖRSAMLING;34.548;33.258;21.45;11.55;0.258;1.29
2023;05 13;KINDA;KISA FÖRSAMLING;34.548;33.258;21.45;11.55;0.258;1.29
2023;05 13;KINDA;RIMFORSA FÖRSAMLING;34.708;33.258;21.45;11.55;0.258;1.45
2023;05 13;KINDA;TIDERSRUMS FÖRSAMLING;34.548;33.258;21.45;11.55;0.258;1.29
2023;05 13;KINDA;VÄSTRA ENEBY FÖRSAMLING;34.548;33.258;21.45;11.55;0.258;1.29
2023;05 60;BOXHOLM;BOXHOLMS FÖRSAMLING;34.778;33.628;21.82;11.55;0.258;1.15
2023;05 61;ÅTVIDABERG;ÅTVIDS FÖRSAMLING;35.478;34.198;22.39;11.55;0.258;1.28
2023;05 62;FINSPÅNG;FINSPÅNGS FÖRSAMLING;35.008;33.958;22.15;11.55;0.258;1.05
2023;05 63;VALDEMARSVIK;RINGARUMS FÖRSAMLING;35.638;34.288;22.48;11.55;0.258;1.35
2023;05 63;VALDEMARSVIK;VALDEMARSVIKS FÖRSAMLING;35.638;34.288;22.48;11.55;0.258;1.35
2023;05 80;LINKÖPING;GOTTFRIDSBERGS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;KÄRNA FÖRSAMLING;33.208;32.008;20.20;11.55;0.258;1.20
2023;05 80;LINKÖPING;LAMBOHOVS FÖRSAMLING;33.269;32.008;20.20;11.55;0.258;1.261
2023;05 80;LINKÖPING;LANDERYDS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS BERGA FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS DOMKYRKOFÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS JOHANNELUNDS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS RYDS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS S:T LARS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;LINKÖPINGS SKÄGGETORPS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;NYKIL-GAMMALKILS FÖRSAMLING;33.269;32.008;20.20;11.55;0.258;1.261
2023;05 80;LINKÖPING;SKEDA FÖRSAMLING;33.269;32.008;20.20;11.55;0.258;1.261
2023;05 80;LINKÖPING;SLAKA FÖRSAMLING;33.269;32.008;20.20;11.55;0.258;1.261
2023;05 80;LINKÖPING;TANNEFORS FÖRSAMLING;33.148;32.008;20.20;11.55;0.258;1.14
2023;05 80;LINKÖPING;ULRIKA FÖRSAMLING;33.269;32.008;20.20;11.55;0.258;1.261
2023;05 80;LINKÖPING;VIKINGSTADS FÖRSAMLING;33.108;32.008;20.20;11.55;0.258;1.10
2023;05 80;LINKÖPING;VISTS FÖRSAMLING;33.428;32.008;20.20;11.55;0.258;1.42
2023;05 80;LINKÖPING;VRETA KLOSTERS FÖRSAMLING;33.218;32.008;20.20;11.55;0.258;1.21
2023;05 80;LINKÖPING;VÅRDNÄS FÖRSAMLING;33.428;32.008;20.20;11.55;0.258;1.42
2023;05 80;LINKÖPING;ÅKERBO FÖRSAMLING;33.268;32.008;20.20;11.55;0.258;1.26
2023;05 81;NORRKÖPING;JONSBERGS FÖRSAMLING;35.058;33.558;21.75;11.55;0.258;1.50
